gentle,nježan,
paralegal,referent,referentica
daisy,tratinčica,
dance,ples,
virus,virus,
paramedic,bolničar,
failure,neuspjeh,
rose,ruža,
occasional,povremeni,
harpsichord,čembalo,
relatives,rodbina,
female,žena,
saxophone,saksofon,
Stephanie,Stephanie,
hopeless,beznadan,
bomb,bomba,
gladiola,gladiola,
Kevin,Kevin,
pistol,pištolj,
lucky,sretan,
office,ured,
Tyrone,Tyrone,
poetry,poezija,
ugly,ružan,
Jack,utičnica,
vomit,povraćanje,
tuba,tuba,
executive,direktor,
laughter,smijeh,
Jeff,Jeff,
Darnell,Darnell,
joy,radost,
happy,sretan,
Ann,Ana,
Betsy,Betsy,
loyal,vjeran,
Ellen,Ellen,
maggot,crv,
Tanisha,Tanisha,
administrator,administrator,
bartender,barmen,
Kristin,Kristin,
symphony,simfonija,
rainbow,duga,
Lavon,Lavon,
violin,violina,
Marcellus,Marcellus,
plumber,vodoinstalater,
bell,zvono,
dragonfly,konjic,
gun,puška,
honest,pošten,
buttercup,žabnjak,
miracle,čudo,
Steve,Steve,
technician,tehničar,
geometry,geometrija,
Shakespeare,Shakespeare,
abuse,zlostavljanje,
knife,nož,
sculpture,skulptura,
Yvette,Yvette,
supervisor,nadglednik,
numbers,brojevi,
Lionel,Lionel,
locust,skakavac,
fleeting,prolazan,
technology,tehnologija,
spear,koplje,
hornet,stršljen,
gift,dar,
Jasmine,Jasmin,
stable,stabilan,
poppy,mak,
officer,časnik,
examiner,ispitivač,
friend,prijatelj,
kill,ubiti,
drum,bubanj,
Melanie,Melanie,
banjo,bendžo,
hatchet,sjekirica,
Ryan,Ryan,
mosquito,komarac,
Terrence,Terrence,
mother,majka,
short-term,kratkoročan,
computation,izračun,
hairdresser,frizer,
wedding,vjenčanje,
harp,harfa,
Bill,Račun,
salesperson,prodavač,
Malika,Malika,
Diana,Diana,
Brett,Brett,
club,klub,
children,djeca,
oboe,oboa,
him,njega,
sickness,bolest,
gloomy,sumoran,
tank,tenk,
Lamar,Lamar,
janitor,domar,
Allison,Allison,
horrible,užasno,
teacher,učitelj,
poverty,siromaštvo,
equations,jednadžbe,
programmer,programer,
impermanent,nepostojan,
male,muški,
Peter,Peter,
wasp,osa,
science,znanost,
Colleen,Colleen,
influenza,gripa,
Malik,Malik,
Lisa,Lisa,
bee,pčela,
Tamika,Tamika,
accident,nesreća,
accountant,računovođa,
pleasure,zadovoljstvo,
grenade,granata,
home,Dom,
variable,varijabla,
man,čovjek,
Rasheed,Rasheed,
termite,termit,
Alphonse,Alphonse,
guitar,gitara,
blackfly,svrbljivica,
Matthew,Matthew,
Katie,Katie,
heaven,raj,
literature,književnost,
inspector,inspektor,
addition,dodatak,
sister,sestra,
evil,zlo,
persistent,uporan,
Hank,Hank,
Courtney,Courtney,
constant,konstantan,
Shereen,Shereen,
honor,čast,
appraiser,procjenitelj,
love,ljubav,
hyacinth,zumbul,
Meredith,Meredith,
Leroy,Leroy,
horn,rog,
ant,mrav,
cancer,rak,
tarantula,tarantula,
blade,oštrica,
algebra,algebra,
viola,viola,
physician,liječnik,
Alonzo,Alonzo,
his,njegov,
salary,plaća,
