piano,piyano
rotten,çürük
slingshot,sapan
azalea,açelya
physics,fizik
firearm,silâh
cricket,kriket
jail,hapis
Geoffrey,Geoffrey
unstable,kararsız
NASA,NASA
Yolanda,Yolanda
filth,pislik
veterinarian,Veteriner hekim
clarinet,klarnet
surgeon,cerrah
baker,fırıncı
Frank,Frank
prolonged,uzun
receptionist,resepsiyonist
brother,erkek kardeş
Ebony,abanoz
missile,füze
pharmacist,eczacı
Brendan,Brendan
crash,kaza
rifle,tüfek
wonderful,olağanüstü
pollute,kirletmek
Kate,Kate
Aisha,Aisha
sad,üzgün
grief,keder
she,o
cannon,top
uncle,amca
management,yönetim
nutritionist,diyetisyen
dagger,hançer
cello,çello
fly,sinek
girl,kız
marriage,evlilik
aster,dalya
bongo,bongo
beetle,böcek
father,baba
clerk,kasiyer
blue-bell,mavi-çan
advisor,danışman
peony,şakayık
spider,örümcek
Tia,Tia
diploma,diploma
psychologist,psikolog
Lakisha,Lakisha
brief,kısa
Paul,Paul
axe,balta
Shaniqua,Shaniqua
death,ölüm
bedbug,tahta kurusu
chemist,eczacı
gentle,nazik
paralegal,avukat
daisy,papatya
dance,dans
virus,virüs
paramedic,paramedik
failure,başarısızlık
rose,gül
occasional,nadiren
harpsichord,harpsikord
relatives,yakınları
female,kadın
saxophone,saksofon
Stephanie,Stephanie
hopeless,umutsuz
bomb,bomba
gladiola,gladiola
Kevin,Kevin
pistol,tabanca
lucky,şanslı
office,ofis
Tyrone,Tyrone
poetry,şiir
ugly,çirkin
Jack,kriko
vomit,kusmak
tuba,tuba
executive,yönetici
laughter,kahkaha
Jeff,Jeff
Darnell,Darnell
joy,sevinç
happy,mutlu
Ann,Ann
Betsy,Betsy
loyal,sadık
Ellen,Ellen
maggot,kurtçuk
Tanisha,Tanisha
administrator,yönetici
bartender,barmen
Kristin,Kristin
symphony,senfoni
rainbow,gökkuşağı
Lavon,Lavon
violin,keman
Marcellus,Marcellus
plumber,tesisatçı
bell,çan
dragonfly,yusufçuk
gun,tabanca
honest,dürüst
buttercup,düğünçiçeği
miracle,mucize
Steve,Steve
technician,teknisyen
geometry,geometri
Shakespeare,Shakespeare
abuse,taciz
knife,bıçak
sculpture,heykel
Yvette,Yvette
supervisor,gözetmen
numbers,sayılar
Lionel,Lionel
locust,keçiboynuzu
fleeting,kısacık
technology,teknoloji
spear,mızrak
hornet,eşekarısı
gift,hediye
Jasmine,Jasmin
stable,kararlı
poppy,haşhaş
officer,subay
examiner,müfettiş
friend,arkadaş
kill,öldürmek
drum,davul
Melanie,Melanie
banjo,banço
hatchet,balta
Ryan,Ryan
mosquito,sivrisinek
Terrence,Terrence
mother,anne
short-term,kısa dönem
computation,hesaplama
hairdresser,kuaför
wedding,düğün
harp,arp
Bill,Bill
salesperson,satici
Malika,Malika
Diana,Diana
Brett,Brett
club,kulüp
children,çocuklar
oboe,obua
him,onu
sickness,hastalık
gloomy,kasvetli
tank,tank
Lamar,Lamar
janitor,satıcı
Allison,Allison
horrible,korkunç
teacher,öğretmen
poverty,yoksulluk
equations,denklemler
programmer,programcı
impermanent,süreksiz
male,erkek
Peter,Peter
wasp,yaban arısı
science,Bilim
Colleen,Colleen
influenza,grip
Malik,Malik
Lisa,Lisa
bee,bal arısı
Tamika,Tamika
accident,kaza
accountant,muhasebeci
pleasure,zevk
grenade,elbombası
home,ev
variable,değişken
man,adam
Rasheed,Rasheed
termite,termit
Alphonse,Alphonse
guitar,gitar
blackfly,blackfly
Matthew,Matthew
Katie,Katie
heaven,cennet
literature,Edebiyat
inspector,müfettiş
addition,ilave
sister,kız kardeş
evil,kötülük
persistent,kalici
Hank,Hank
Courtney,Courtney
constant,sabit
Shereen,Shereen
honor,onur
appraiser,eksper
love,aşk
hyacinth,sümbül
Meredith,Meredith
Leroy,Leroy
horn,Boynuz
ant,karınca
cancer,kanser
tarantula,tarantula
blade,bıçakağzı
algebra,cebir
viola,viyola
physician,doktor
Alonzo,Alonzo
his,onun
salary,maaş
